t,y,y_ref
1,0.9946502573073119,NaN
2,0.9950673044184489,NaN
3,0.9952712415625735,NaN
4,0.9947740252232715,NaN
5,0.9945432019281734,NaN
6,0.9950528523962621,NaN
7,0.9960167284582555,NaN
8,0.9965344477729743,NaN
9,0.9961614755320318,NaN
10,0.9959003694834907,NaN
11,0.9962690623009077,NaN
12,0.9963498245650442,NaN
13,0.996381829424579,NaN
14,0.9962530947969355,NaN
15,0.9961538701531367,NaN
16,0.9959680891229319,NaN
17,0.995872250462413,NaN
18,0.9964095179792039,NaN
19,0.9966397087768228,NaN
20,0.9967902197900738,NaN
21,0.9974194436535433,NaN
22,0.9976179712040583,NaN
23,0.9969734230436935,NaN
24,0.9961662812367884,NaN
25,0.9959324405485289,NaN
26,0.9963302793865496,NaN
27,0.9970685535132195,NaN
28,0.9979664740906258,NaN
29,0.9989308565076367,NaN
30,0.999928853787629,NaN
31,1.0009413020141222,NaN
32,1.001957115342456,NaN
33,1.0029699727868613,NaN
34,1.003976359907037,NaN
35,1.0049744115039552,NaN
36,1.0059632278598725,NaN
37,1.0069424709225854,NaN
38,1.0079121259764146,NaN
39,1.0088723611322514,NaN
40,1.0098234446316279,NaN
41,1.010765696314192,NaN
42,1.011699459266838,NaN
43,1.0126250833890575,NaN
44,1.013542915988583,NaN
45,1.0144532965193773,NaN
46,1.0153565537552134,0.9919942917243725
47,1.0372374334903611,1.0546609085065246
48,1.0842363876272054,1.1163392353067998
49,1.1363650267455863,1.1760565680667114
50,1.1837331373278528,1.23287112877523
51,1.2283851066199436,1.285886917870609
52,1.2743603061156294,1.3342678446887168
53,1.3199873738518941,1.3772509131122672
54,1.3612714069851455,1.41415825447538
55,1.3962496100432569,1.4444078179573823
56,1.4251746550681903,1.4675225498719493
57,1.4482628685421772,1.4831379170887167
58,1.4648216912747647,1.4910076559385081
59,1.4740024578201782,1.4910076559385081
60,1.4755149682354598,1.483137917088717
61,1.4695056910743656,1.4675225498719493
62,1.4561571138391187,1.4444078179573823
63,1.4355940280492905,1.41415825447538
64,1.4080419655389207,1.3772509131122672
65,1.373924513405135,1.3342678446887168
66,1.3338125019885319,1.2858869178706092
67,1.2883473766770224,1.23287112877523
68,1.238227068865664,1.1760565680667114
69,1.184226249670279,1.1163392353068
70,1.1271970938172107,1.0546609085065248
71,1.0680447799882393,0.9919942917243726
72,1.0077024668529622,0.9293276749422203
73,0.9471179122835391,0.8676493481419452
74,0.8872442070105939,0.8079320153820335
75,0.8290260791807889,0.7511174546735148
76,0.7733826094360026,0.6981016655781361
77,0.7211911509912835,0.6497207387600283
78,0.6732740574270042,0.6067376703364777
79,0.6303866819920076,0.5698303289733648
80,0.5932055252883577,0.5395807654913626
81,0.5623170972960676,0.5164660335767957
82,0.5382084568197419,0.5008506663600281
83,0.521259678907864,0.4929809275102367
84,0.51173801549442,0.4929809275102367
85,0.5097936608413554,0.5008506663600281
86,0.5154572969711588,0.5164660335767957
87,0.5286395864051823,0.5395807654913625
88,0.5491326139308943,0.569830328973365
89,0.5766131883135056,0.6067376703364777
90,0.6106479307176353,0.649720738760028
91,0.650700094777046,0.6981016655781358
92,0.6961380298214523,0.7511174546735144
93,0.7462451488424077,0.8079320153820335
94,0.8002312324192955,0.8676493481419448
95,0.8572448888197679,0.9293276749422201
96,0.9163869787572569,0.9919942917243724
97,0.9767247952902665,1.0546609085065246
98,1.0373067744186988,1.1163392353068
99,1.0971775022087722,1.1760565680667117
100,1.155392781694521,1.2328711287752299
101,1.2110345230581343,1.285886917870609
102,1.2632252227006602,1.3342678446887168
103,1.3111418020591268,1.3772509131122668
104,1.3540285880299487,1.4141582544753801
105,1.391209230394475,1.4444078179573823
106,1.422097368187858,1.467522549871949
107,1.4462058770153154,1.4831379170887167
108,1.4631545512932647,1.4910076559385081
109,1.4726761003022029,1.4910076559385081
110,1.4746203635365576,1.4831379170887167
111,1.4689566787842776,1.4675225498719493
112,1.4557743657285382,1.444407817957382
113,1.435281317331924,1.41415825447538
114,1.4078007212006511,1.3772509131122668
115,1.3737659627528183,1.3342678446887166
116,1.333713790472025,1.2858869178706092
117,1.2882758510501433,1.2328711287752299
118,1.2381687279331361,1.1760565680667114
119,1.184182640337244,1.1163392353068002
120,1.1271689810891297,1.0546609085065244
121,1.068026889759423,0.9919942917243727
122,1.0076890724529972,0.9293276749422209
123,0.9471070925087253,0.867649348141945
124,0.8872363639309189,0.8079320153820339
125,0.8290210839190263,0.7511174546735147
126,0.7733793423105957,0.698101665578136
127,0.7211886425182994,0.6497207387600286
128,0.6732720630061189,0.6067376703364784
129,0.6303852769341112,0.5698303289733646
130,0.5932046345104414,0.5395807654913627
131,0.5623164966401912,0.5164660335767958
132,0.5382079877472642,0.5008506663600283
133,0.521259313442193,0.49298092751023675
134,0.511737764439034,0.4929809275102367
135,0.5097935012214515,0.5008506663600282
136,0.5154571859617363,0.5164660335767957
137,0.5286394989786074,0.5395807654913625
138,0.5491325473607482,0.5698303289733644
139,0.5766131435289695,0.6067376703364775
140,0.6106479019681514,0.6497207387600282
141,0.6507000742147522,0.6981016655781358
142,0.6961380136266266,0.7511174546735143
143,0.7462451367914802,0.8079320153820334
144,0.8002312244054473,0.8676493481419447
145,0.8572448835461188,0.9293276749422205
