k,d_raw,d_normalized
0,1.012463307975639,1.0
1,1.0122767908704224,0.9998157788990994
2,1.0119890533147549,0.9995315833599615
3,1.011301540627518,0.9988525338755793
4,1.0046756129404313,0.9923081706034573
5,0.9820922491216318,0.9700028054204429
6,0.9547236180217921,0.942971079051453
7,0.9441851573259551,0.9325623456061809
8,0.9437969218845275,0.9321788892988072
9,0.94100103109386,0.9294174156052493
10,0.9384213212667191,0.9268694617121853
11,0.9257051845672956,0.9143098592068375
12,0.8808933794018958,0.8700496822578098
13,0.8334824877533198,0.823222413284111
14,0.7842050064652699,0.774551532176748
15,0.7347872574499297,0.7257421100218373
16,0.6544834165951846,0.6464268002993468
17,0.568593300419704,0.5615939816688991
18,0.4999327064688629,0.49377859180739003
19,0.45927337142791264,0.45361976854865266
20,0.24430818465848209,0.24130077873830505
21,0.06443492950333132,0.06364174286193658
22,0.013844096555364066,0.01367367730396524
23,2.807190215817615e-10,2.7726340240718717e-10
